Sample,Native Baseline,Unfolded Baseline,Model Type,Tm,ΔHm,ΔCp,m-value,AIC,BIC,EBIC,Reduced χ²
G5A,exponential,exponential,Global slopes and global intercepts,103.3,366.2,7.0,4.29,2086.58,2263.48,2590.51,1.8677
G5A,linear,exponential,Global slopes and global intercepts,97.4,272.6,7.0,2.33,2188.95,2359.74,2677.32,1.9272
G5A,quadratic,exponential,Global slopes and global intercepts,89.1,10.0,7.35,0.98,2178.15,2355.05,2682.08,1.9203
G5A,exponential,linear,Global slopes and global intercepts,102.4,218.3,0.1,2.97,2359.75,2530.55,2848.13,2.0298
G5A,linear,exponential,Global slopes and local intercepts,96.9,265.6,7.0,2.22,2858.96,3121.25,3574.22,2.3513
G5A,quadratic,exponential,Global slopes and local intercepts,95.7,73.5,9.0,1.08,4053.14,4321.53,4783.11,3.3777
G5A,quadratic,linear,Global slopes and local intercepts,164.3,30.9,0.3,1.01,4114.44,4376.74,4829.71,3.4422
G5A,quadratic,linear,Global slopes and global intercepts,123.5,149.6,2.74,1.82,4499.1,4669.9,4987.48,3.886
G5A,linear,linear,Global slopes and global intercepts,93.1,10.0,5.94,1.75,6818.16,6982.86,7290.92,7.8594
G5A,exponential,quadratic,Global slopes and global intercepts,153.8,134.4,1.34,2.31,6965.61,7142.51,7469.54,8.2143
G5A,linear,linear,Global slopes and local intercepts,77.4,17.3,0.1,1.25,7086.14,7342.33,7786.65,8.4872
G5A,linear,quadratic,Global slopes and global intercepts,113.9,63.9,1.38,0.5,7349.64,7520.43,7838.01,9.2327
G5A,exponential,quadratic,Global slopes and local intercepts,153.8,109.9,1.02,1.97,7152.53,7420.93,7882.5,8.6548
G5A,exponential,linear,Global slopes and local intercepts,92.5,454.4,0.1,3.21,7545.17,7807.47,8260.44,9.7534
G5A,linear,quadratic,Global slopes and local intercepts,167.5,92.3,1.03,0.5,9381.45,9643.74,10096.71,17.0316
G5A,quadratic,quadratic,Global slopes and global intercepts,110.0,10.1,3.48,0.9,12550.89,12727.78,13054.81,44.7666
G5A,exponential,exponential,Global slopes and local intercepts,104.7,212.0,6.35,3.14,12651.12,12919.51,13381.09,45.9424
G5A,quadratic,quadratic,Global slopes and local intercepts,121.9,135.7,4.34,3.1,29676.82,29945.21,30406.79,8071.4428
